,0
0,≥ван
1,дев'€тнадц€тий
2,дитина
3,гуцульський
4,родина
5,пал≥йчук≥в
6,двадц€тою
7,останн≥й
8,анничка
9,знати
10,в≥чний
11,шум
12,черемош
13,скарга
14,г≥рський
15,пот≥к
16,сповн€ти
17,самотн≥й
18,хата
19,високий
20,кичера
21,сум
22,чорний
23,смерековий
24,л≥с
25,л€кати
26,дитина
27,≥ван
28,плакати
29,кричати
30,н≥ч
31,погано
32,рости
33,дивитис€
34,нен€
35,такий
36,глибокий
37,старече
38,розумний
39,з≥р
40,тривоз≥
41,одвертати
42,од
43,око
44,л€к
45,думати
46,дитина
47,сокотилас€
48,баба
49,злогах
50,обкурити
51,десь
52,хата
53,засв≥тити
54,св≥чка
55,хитрий
56,б≥сиц€
57,встигти
58,обм≥н€ти
59,дитина
60,б≥сен€
61,туго
62,рости
63,дитина
64,п≥дростала
65,ст€мились
66,довестис€
67,шити
68,штани
69,чудний
70,дивитис€
71,бачити
72,€кийсь
73,далекий
74,в≥домий
75,н≥хто
76,причина
77,кричати
78,гач≥
79,спадати
80,сто€ти
81,серед
82,хата
83,заплющити
84,око
85,розз€вити
86,рот
87,верещить
88,виймала
89,люлька
90,зуб
91,замахнувшись
92,люто
93,гукати
94,≥г≥
95,обм≥н≥ннику
96,щезнути
97,озеро
98,тр≥ск
99,щезав
100,котивсь
101,зелений
102,царинка
103,маленький
104,б≥лий
105,наче
106,банька
107,кульбаба
108,безстрашно
109,забиравс€
110,темний
111,л≥с
112,гаджуги
113,кивати
114,галузка
115,ведм≥дь
116,лабами
117,дивитис€
118,гора
119,близький
120,далекий
121,верх
122,голуб≥ти
123,небо
124,смерековий
125,чорний
126,л≥с
127,син≥й
128,диханн€
129,€сний
130,зелень
131,царинка
132,мов
133,дзеркала
134,блищати
135,рама
136,дерево
137,долина
138,кип≥в
139,холодний
140,черемош
141,далекий
142,горб
143,др≥мати
144,сонц≥
145,самотний
146,осел€
147,тихо
148,сумно
149,чорний
150,смерека
151,безперестанку
152,спускати
153,сум
154,св≥й
155,черемош
156,нести
157,долом
158,опов≥дати
159,≥ва
160,мо
161,ой
162,гукати
163,≥ван
164,од
165,хата
166,слухати
167,збирати
168,малина
169,пукав
170,листочок
171,робити
172,свист≥лка
173,пищав
174,травинка
175,намагаючись
176,вдавати
177,голос
178,птах
179,згук
180,чути
181,л≥с
182,пом≥тний
183,л≥сов≥м
184,зел≥
185,збирати
186,кв≥тка
187,косичив
188,кресаню
189,бриль
190,утомившись
191,л€гати
192,десь
193,с≥но
194,сохло
195,остривах
196,сп≥вати
197,сон
198,будити
199,св≥й
200,дзв≥н
201,г≥рський
202,пот≥к
203,≥ван
204,минути
205,л≥та
206,дивитис€
207,св≥т
208,≥накше
209,знати
210,ум≥в
211,знаходити
212,пом≥чний
213,з≥лл€
214,одален
215,матриган
216,п≥дойму
217,розум≥ти
218,канькаЇ
219,кан€
220,повстати
221,зозул€
222,опов≥дати
223,вдома
224,непевно
225,позирати
226,знати
227,св≥т
228,панувати
229,нечистий
230,сила
231,ар≥дник
232,злий
233,дух
234,правити
235,л≥с
236,повно
237,л≥совик
238,пасти
239,маржинка
240,олень
241,заЇць
242,серн
243,блукати
244,веселий
245,чугайстир
246,просити
